type,lat,lng
lamp,37.5562,126.92351
lamp,37.55628,126.92389
lamp,37.5562,126.92427
lamp,37.55628,126.92465
lamp,37.5562,126.92503
lamp,37.55628,126.92541
lamp,37.55652,126.92359
lamp,37.5566,126.92397
lamp,37.55652,126.92435
lamp,37.5566,126.92473
lamp,37.55652,126.92511
lamp,37.5566,126.92549
lamp,37.55684,126.92351
lamp,37.55692,126.92389
lamp,37.55684,126.92427
lamp,37.55692,126.92465
lamp,37.55684,126.92503
lamp,37.55692,126.92541
lamp,37.55716,126.92359
lamp,37.55724,126.92397
lamp,37.55716,126.92435
lamp,37.55724,126.92473
lamp,37.55716,126.92511
lamp,37.55724,126.92549
lamp,37.55748,126.92351
lamp,37.55756,126.92389
lamp,37.55748,126.92427
lamp,37.55756,126.92465
lamp,37.55748,126.92503
lamp,37.55756,126.92541
lamp,37.5578,126.92359
lamp,37.55788,126.92397
lamp,37.5578,126.92435
lamp,37.55788,126.92473
lamp,37.5578,126.92511
lamp,37.55788,126.92549
lamp,37.55812,126.92351
lamp,37.5582,126.92389
lamp,37.55812,126.92427
lamp,37.5582,126.92465
lamp,37.55812,126.92503
lamp,37.5582,126.92541
lamp,37.55431,126.92296
lamp,37.55439,126.92336
lamp,37.55431,126.92376
lamp,37.55439,126.92416
lamp,37.55431,126.92456
lamp,37.55465,126.92304
lamp,37.55473,126.92344
lamp,37.55465,126.92384
lamp,37.55473,126.92424
lamp,37.55465,126.92464
lamp,37.55499,126.92296
lamp,37.55507,126.92336
lamp,37.55499,126.92376
lamp,37.55507,126.92416
lamp,37.55499,126.92456
lamp,37.55533,126.92304
lamp,37.55541,126.92344
lamp,37.55533,126.92384
lamp,37.55541,126.92424
lamp,37.55533,126.92464
lamp,37.55567,126.92296
lamp,37.55575,126.92336
lamp,37.55567,126.92376
lamp,37.55575,126.92416
lamp,37.55567,126.92456
lamp,37.55601,126.92304
lamp,37.55609,126.92344
lamp,37.55601,126.92384
lamp,37.55609,126.92424
lamp,37.55601,126.92464
lamp,37.55986,126.92762
lamp,37.55994,126.92804
lamp,37.55986,126.92846
lamp,37.55994,126.92888
lamp,37.55986,126.9293
lamp,37.56022,126.9277
lamp,37.5603,126.92812
lamp,37.56022,126.92854
lamp,37.5603,126.92896
lamp,37.56022,126.92938
lamp,37.56058,126.92762
lamp,37.56066,126.92804
lamp,37.56058,126.92846
lamp,37.56066,126.92888
lamp,37.56058,126.9293
lamp,37.56094,126.9277
lamp,37.56102,126.92812
lamp,37.56094,126.92854
lamp,37.56102,126.92896
lamp,37.56094,126.92938
lamp,37.5613,126.92762
lamp,37.56138,126.92804
lamp,37.5613,126.92846
lamp,37.56138,126.92888
lamp,37.5613,126.9293
lamp,37.56166,126.9277
lamp,37.56174,126.92812
lamp,37.56166,126.92854
lamp,37.56174,126.92896
lamp,37.56166,126.92938
lamp,37.55631,126.91832
lamp,37.55639,126.91874
lamp,37.55631,126.91916
lamp,37.55639,126.91958
lamp,37.55631,126.92
lamp,37.55665,126.9184
lamp,37.55673,126.91882
lamp,37.55665,126.91924
lamp,37.55673,126.91966
lamp,37.55665,126.92008
lamp,37.55699,126.91832
lamp,37.55707,126.91874
lamp,37.55699,126.91916
lamp,37.55707,126.91958
lamp,37.55699,126.92
lamp,37.55733,126.9184
lamp,37.55741,126.91882
lamp,37.55733,126.91924
lamp,37.55741,126.91966
lamp,37.55733,126.92008
lamp,37.55767,126.91832
lamp,37.55775,126.91874
lamp,37.55767,126.91916
lamp,37.55775,126.91958
lamp,37.55767,126.92
lamp,37.55801,126.9184
lamp,37.55809,126.91882
lamp,37.55801,126.91924
lamp,37.55809,126.91966
lamp,37.55801,126.92008
lamp,37.5612,126.91862
lamp,37.56128,126.91904
lamp,37.5612,126.91946
lamp,37.56128,126.91988
lamp,37.5612,126.9203
lamp,37.56158,126.9187
lamp,37.56166,126.91912
lamp,37.56158,126.91954
lamp,37.56166,126.91996
lamp,37.56158,126.92038
lamp,37.56196,126.91862
lamp,37.56204,126.91904
lamp,37.56196,126.91946
lamp,37.56204,126.91988
lamp,37.56196,126.9203
lamp,37.56234,126.9187
lamp,37.56242,126.91912
lamp,37.56234,126.91954
lamp,37.56242,126.91996
lamp,37.56234,126.92038
lamp,37.56272,126.91862
lamp,37.5628,126.91904
lamp,37.56272,126.91946
lamp,37.5628,126.91988
lamp,37.56272,126.9203
lamp,37.55124,126.9233
lamp,37.55132,126.92374
lamp,37.55124,126.92418
lamp,37.55132,126.92462
lamp,37.5516,126.92338
lamp,37.55168,126.92382
lamp,37.5516,126.92426
lamp,37.55168,126.9247
lamp,37.55196,126.9233
lamp,37.55204,126.92374
lamp,37.55196,126.92418
lamp,37.55204,126.92462
lamp,37.55232,126.92338
lamp,37.5524,126.92382
lamp,37.55232,126.92426
lamp,37.5524,126.9247
lamp,37.55268,126.9233
lamp,37.55276,126.92374
lamp,37.55268,126.92418
lamp,37.55276,126.92462
