lat,lng
37.55710,126.92430
37.55770,126.92530
37.55650,126.92350
37.55840,126.92470
37.55580,126.92520
37.55482,126.92365
37.55380,126.92470
37.55280,126.92340
37.55185,126.92487
37.55080,126.92370
37.55960,126.92760
37.56065,126.92864
37.56160,126.92920
37.56260,126.92870
37.56361,126.92971
37.55690,126.92030
37.55790,126.91911
37.55590,126.91870
37.55492,126.91720
37.55390,126.91640
37.56003,126.92080
37.56101,126.91930
37.56200,126.91820
37.56301,126.92050
37.56400,126.91920
37.55441,126.92127
37.55042,126.91598
37.55126,126.91710
37.55218,126.93188
37.55332,126.93312
37.56488,126.92678
37.56522,126.92186
