보안등위치명,설치개수,소재지도로명주소,소재지지번주소
연남동 01-08,1,서울특별시 마포구 성미산로23길 76,
연남동 01-09,1,서울특별시 마포구 성미산로23길 68,
연남동 01-10,1,서울특별시 마포구 성미산로23길 54,
연남동 01-13,1,서울특별시 마포구 성미산로 105,
연남동 01-24,1,서울특별시 마포구 성미산로27길 26,서울특별시 마포구 연남동 245-51
연남동 01-25,1,서울특별시 마포구 성미산로23길 26-6,서울특별시 마포구 연남동 246-21
연남동 01-27,1,서울특별시 마포구 성미산로27길 25,서울특별시 마포구 연남동 246-14
연남동 01-28,1,서울특별시 마포구 성미산로23길 30-6,서울특별시 마포구 연남동 246-15
연남동 01-29,1,서울특별시 마포구 성미산로27길 38 삼정도나빌,서울특별시 마포구 연남동 245-42
연남동 01-30,1,서울특별시 마포구 성미산로23길 38 현대하이츠 아파트,서울특별시 마포구 연남동 246-8
연남동 01-31,1,서울특별시 마포구 성미산로23안길 8 노블레스빌,서울특별시 마포구 연남동 246-23
연남동 01-32,1,서울특별시 마포구 성미산로23길 38-6 현대빌라,서울특별시 마포구 연남동 246-7
연남동 01-33,1,서울특별시 마포구 성미산로23길 54 연남아파트,서울특별시 마포구 연남동 244-16
연남동 01-34,1,,서울특별시 마포구 연남동 454-3
연남동 01-35,1,,서울특별시 마포구 연남동 454-3
연남동 01-36,1,서울특별시 마포구 동교로51길 129-4,
연남동 01-37,1,,서울특별시 마포구 연남동 453-6
연남동 01-38,1,서울특별시 마포구 성미산로27길 69,
연남동 01-39,1,서울특별시 마포구 성미산로27길 64,
연남동 01-40,1,서울특별시 마포구 성미산로23길 54,
연남동 01-41,1,서울특별시 마포구 성미산로27길 57-1,
연남동 01-42,1,서울특별시 마포구 성미산로27길 58,
연남동 01-43,1,서울특별시 마포구 성미산로27길 52,
연남동 01-44,1,서울특별시 마포구 성미산로27길 68,
연남동 01-45,1,,서울특별시 마포구 연남동 453-3
연남동 01-46,1,,서울특별시 마포구 연남동 453-34
연남동 01-47,1,서울특별시 마포구 동교로51길 111-4,
연남동 01-48,1,서울특별시 마포구 성미산로27길 60,
연남동 01-49,1,서울특별시 마포구 동교로51길 109,서울특별시 마포구 연남동 244-4
연남동 01-50,1,,서울특별시 마포구 연남동 244-19
연남동 01-51,1,서울특별시 마포구 성미산로23안길 21,서울특별시 마포구 연남동 244-2
연남동 01-52,1,서울특별시 마포구 성미산로23안길 19,서울특별시 마포구 연남동 244-8
연남동 01-54,1,서울특별시 마포구 성미산로23안길 20-7,
연남동 01-55,1,,서울특별시 마포구 연남동 244-19
연남동 01-56,1,서울특별시 마포구 성미산로27길 52,서울특별시 마포구 연남동 244-11
연남동 01-57,1,서울특별시 마포구 성미산로23안길 20-12,
연남동 01-58,1,서울특별시 마포구 성미산로29길 35-6,서울특별시 마포구 연남동 245-67
연남동 01-59,1,서울특별시 마포구 성미산로29길 35-24,서울특별시 마포구 연남동 245-72
연남동 01-59(동원테크로 교체),1,서울특별시 마포구 성미산로29길 35-18(철거),서울특별시 마포구 연남동 245-39
연남동 01-60,1,서울특별시 마포구 성미산로29길 35-11,서울특별시 마포구 연남동 245-79
연남동 01-61,1,서울특별시 마포구 성미산로29길 35-13,서울특별시 마포구 연남동 245-80
연남동 01-62,1,서울특별시 마포구 성미산로29길 29-7,서울특별시 마포구 연남동 245-48
연남동 01-63,1,서울특별시 마포구 성미산로29길 23-8,
연남동 01-65,1,서울특별시 마포구 성미산로29길 17-6,서울특별시 마포구 연남동 245-69
연남동 01-69,1,서울특별시 마포구 성미산로29길 17-9 연남동주민센터,서울특별시 마포구 연남동 250-9
연남동 01-70,1,서울특별시 마포구 성미산로27길 7,
연남동 01-73,1,서울특별시 마포구 성미산로29길 17-10,서울특별시 마포구 연남동 245-71
연남동 01-74,1,서울특별시 마포구 성미산로23안길 19,
연남동 01-75,1,서울특별시 마포구 성미산로27길 15-1 노블레스빌,서울특별시 마포구 연남동 249-3
연남동 01-78,1,서울특별시 마포구 성미산로23길 78,
연남동 01-79,1,서울특별시 마포구 성미산로23안길 24,
연남동 02-01,1,서울특별시 마포구 동교로39길 7,
연남동 02-37,1,서울특별시 마포구 성미산로 139,
연남동 02-39,1,서울특별시 마포구 성미산로23길 14,
연남동 02-40,1,서울특별시 마포구 성미산로27길 7,
연남동 02-42,1,서울특별시 마포구 성미산로27길 6,
연남동 02-44,1,서울특별시 마포구 성미산로32길 38,
연남동 02-46,1,서울특별시 마포구 성미산로26길 25,
연남동 02-48,1,서울특별시 마포구 성미산로28길 9,
연남동 02-49,1,서울특별시 마포구 동교로41길 31-10,
연남동 02-53,1,서울특별시 마포구 성미산로26길 16,
연남동 02-54,1,서울특별시 마포구 성미산로26길 25,
연남동 02-56,1,서울특별시 마포구 성미산로26길 32-2,
연남동 02-57,1,서울특별시 마포구 성미산로26길 41,
연남동 02-59,1,서울특별시 마포구 동교로39길 11,
연남동 02-60,1,서울특별시 마포구 동교로39길 9,
연남동 02-61,1,서울특별시 마포구 동교로39길 8,
연남동 02-64,1,서울특별시 마포구 성미산로26길 43,
연남동 02-65,1,서울특별시 마포구 성미산로28길 39,
연남동 02-66,1,서울특별시 마포구 성미산로26길 35,
연남동 02-67,1,서울특별시 마포구 성미산로26길 29,
연남동 02-68,1,서울특별시 마포구 성미산로28길 9,
연남동 02-71,1,서울특별시 마포구 성미산로26길 12,
연남동 02-72,1,서울특별시 마포구 성미산로26길 27,
연남동 02-73,1,서울특별시 마포구 성미산로 140,
연남동 02-74,1,서울특별시 마포구 성미산로 144,
연남동 02-75,1,서울특별시 마포구 성미산로26길 8,
연남동 02-92,1,서울특별시 마포구 성미산로26길 16,
연남동 02-97,1,서울특별시 마포구 성미산로32길 38-4,
연남동 02-98,1,서울특별시 마포구 동교로41길 31-7,
연남동 02-99,1,서울특별시 마포구 연남로 4 연남파출소,서울특별시 마포구 연남동 373-20
연남동 03-12,1,서울특별시 마포구 동교로51길 65,
연남동 03-13,1,서울특별시 마포구 동교로51길 71,
연남동 03-14,1,서울특별시 마포구 동교로51길 77,
연남동 03-15,1,서울특별시 마포구 동교로51길 77-3,서울특별시 마포구 연남동 241-8
연남동 03-16,1,서울특별시 마포구 동교로51길 77-11,서울특별시 마포구 연남동 241-13
연남동 03-17,1,서울특별시 마포구 성미산로29길 40-11 메종드코튼,서울특별시 마포구 연남동 241-44
연남동 03-18,1,서울특별시 마포구 동교로51길 81-6,
연남동 03-19,1,서울특별시 마포구 동교로51길 83,
연남동 03-20,1,서울특별시 마포구 동교로51길 87,
연남동 03-21,1,서울특별시 마포구 동교로51길 91,
연남동 03-23,1,서울특별시 마포구 성미산로29길 40-8,서울특별시 마포구 연남동 241-49
연남동 03-25,1,서울특별시 마포구 성미산로29길 30-4,
연남동 03-26,1,서울특별시 마포구 성미산로29길 24-5,서울특별시 마포구 연남동 241-34
연남동 03-27,1,서울특별시 마포구 성미산로29안길 9,서울특별시 마포구 연남동 241-24
연남동 03-28,1,서울특별시 마포구 성미산로29안길 5,서울특별시 마포구 연남동 241-29
연남동 03-29,1,서울특별시 마포구 성미산로29안길 6-3,
연남동 03-30,1,서울특별시 마포구 성미산로29안길 19-5,서울특별시 마포구 연남동 241-17
연남동 03-31,1,서울특별시 마포구 성미산로29안길 27-14,서울특별시 마포구 연남동 241-78
연남동 03-32,1,서울특별시 마포구 성미산로29안길 19-8,서울특별시 마포구 연남동 241-92
연남동 03-33,1,서울특별시 마포구 성미산로29안길 27-7,서울특별시 마포구 연남동 241-90
연남동 03-34,1,,서울특별시 마포구 연남동 242-6
연남동 03-35,1,서울특별시 마포구 성미산로 161-4,
연남동 03-36,1,서울특별시 마포구 성미산로 157-3,
연남동 03-37,1,서울특별시 마포구 성미산로 157-8,
연남동 03-39,1,서울특별시 마포구 성미산로29안길 12,
연남동 03-40,1,서울특별시 마포구 성미산로 153-7,
연남동 03-41,1,서울특별시 마포구 성미산로 153-5,
연남동 03-42,1,서울특별시 마포구 성미산로 149-4,
연남동 03-43,1,서울특별시 마포구 성미산로 149-10,
연남동 03-44,1,서울특별시 마포구 동교로41길 36-7,
연남동 03-45,1,서울특별시 마포구 성미산로32길 20-6,
연남동 03-46,1,서울특별시 마포구 성미산로32길 20-5,
연남동 03-47,1,서울특별시 마포구 동교로51안길 30,서울특별시 마포구 연남동 239-37
연남동 03-48,1,서울특별시 마포구 동교로47길 32,
연남동 03-49,1,서울특별시 마포구 동교로47길 23,
연남동 03-50,1,서울특별시 마포구 동교로 263,
연남동 03-51,1,서울특별시 마포구 동교로47길 10,
연남동 03-52,1,서울특별시 마포구 성미산로32길 5,
연남동 03-54,1,서울특별시 마포구 동교로 261-1,
연남동 03-55,1,서울특별시 마포구 동교로45길 3-4,
연남동 03-56,1,서울특별시 마포구 동교로45길 8,
연남동 03-57,1,서울특별시 마포구 동교로45길 15,
연남동 03-58,1,서울특별시 마포구 동교로41길 12-6,
연남동 03-59,1,서울특별시 마포구 동교로41길 8,
연남동 03-60,1,서울특별시 마포구 동교로 253,
연남동 03-62,1,서울특별시 마포구 동교로 259,
연남동 03-63,1,서울특별시 마포구 성미산로32길 18,
연남동 03-64,1,서울특별시 마포구 동교로41길 36-11,
연남동 03-65,1,서울특별시 마포구 동교로47길 14,
연남동 03-66,1,서울특별시 마포구 성미산로 154,
연남동 03-67,1,서울특별시 마포구 성미산로 174,
연남동 03-68,1,서울특별시 마포구 성미산로32길 12,
연남동 03-69,1,서울특별시 마포구 동교로47길 9,
연남동 03-70,1,서울특별시 마포구 성미산로29안길 19-14,서울특별시 마포구 연남동 241-14
연남동 03-71,1,서울특별시 마포구 성미산로29길 42-5,서울특별시 마포구 연남동 241-93
연남동 03-73,1,서울특별시 마포구 동교로51안길 30,서울특별시 마포구 연남동 225-39
연남동 03-74,1,서울특별시 마포구 동교로51안길 30,서울특별시 마포구 연남동 239-27
연남동 03-75,1,서울특별시 마포구 동교로51길 91,
연남동 03-76,1,서울특별시 마포구 성미산로29안길 11,
연남동 04-01,1,서울특별시 마포구 동교로51길 17,
연남동 04-02,1,서울특별시 마포구 동교로51길 21,
연남동 04-03,1,서울특별시 마포구 동교로51길 21-8,
연남동 04-04,1,서울특별시 마포구 성미산로31길 13,
연남동 04-05,1,서울특별시 마포구 성미산로31길 11-10,
연남동 04-08,1,서울특별시 마포구 성미산로 165-10,
연남동 04-09,1,서울특별시 마포구 동교로51안길 5,
연남동 04-10,1,서울특별시 마포구 동교로51길 31,
연남동 04-11,1,서울특별시 마포구 성미산로 165-7,
연남동 04-12,1,서울특별시 마포구 동교로51안길 30,서울특별시 마포구 연남동 223-13
연남동 04-13,1,서울특별시 마포구 성미산로 165-10,
연남동 04-14,1,서울특별시 마포구 성미산로 165-6,
연남동 04-15,1,서울특별시 마포구 동교로51안길 13,
연남동 04-16,1,서울특별시 마포구 성미산로 165-5,
연남동 04-17,1,서울특별시 마포구 동교로51안길 21,
연남동 04-18,1,서울특별시 마포구 동교로51안길 30,서울특별시 마포구 연남동 223-92
연남동 04-19,1,서울특별시 마포구 동교로51길 27,
연남동 04-20,1,서울특별시 마포구 동교로51길 23,
연남동 04-21,1,서울특별시 마포구 동교로51길 31,
